id	sprite	frame	tics	action	nextstate	misc1	misc2
855	73	32770	6	0	856	0	0
856	73	32771	6	0	853	0	0
857	74	32768	6	0	858	0	0
858	74	32769	6	0	859	0	0
859	74	32770	6	0	860	0	0
860	74	32771	6	0	857	0	0
861	75	32768	-1	0	0	0	0
862	76	32768	6	0	863	0	0
863	76	32769	6	0	864	0	0
864	76	32770	6	0	865	0	0
865	76	32771	6	0	866	0	0
866	76	32770	6	0	867	0	0
867	76	32769	6	0	862	0	0
868	77	32768	6	0	869	0	0
869	77	1	6	0	868	0	0
870	78	0	-1	0	0	0	0
871	79	0	-1	0	0	0	0
872	80	0	-1	0	0	0	0
873	81	0	-1	0	0	0	0
874	82	0	-1	0	0	0	0
875	83	0	-1	0	0	0	0
876	84	0	-1	0	0	0	0
877	85	0	-1	0	0	0	0
878	86	0	-1	0	0	0	0
879	87	0	-1	0	0	0	0
880	88	0	-1	0	0	0	0
881	89	0	-1	0	0	0	0
882	90	0	-1	0	0	0	0
883	91	0	-1	0	0	0	0
884	92	0	-1	0	0	0	0
885	93	0	-1	0	0	0	0
886	94	32768	-1	0	0	0	0
887	95	0	-1	0	0	0	0
888	96	0	10	0	889	0	0
889	96	1	15	0	890	0	0
890	96	2	8	0	891	0	0
891	96	1	6	0	888	0	0
892	28	13	-1	0	0	0	0
893	28	18	-1	0	0	0	0
894	97	0	-1	0	0	0	0
895	98	0	-1	0	0	0	0
896	99	0	-1	0	0	0	0
897	100	32768	6	0	898	0	0
898	100	32769	6	0	897	0	0
899	101	0	-1	0	0	0	0
900	102	0	6	0	901	0	0
901	102	1	8	0	900	0	0
902	103	0	-1	0	0	0	0
903	104	0	-1	0	0	0	0
904	105	0	-1	0	0	0	0
905	106	0	-1	0	0	0	0
906	107	0	-1	0	0	0	0
907	108	0	-1	0	0	0	0
908	109	0	-1	0	0	0	0
909	110	0	-1	0	0	0	0
910	111	0	-1	0	0	0	0
911	112	32768	-1	0	0	0	0
912	113	32768	-1	0	0	0	0
913	114	0	-1	0	0	0	0
914	115	0	-1	0	0	0	0
915	116	0	-1	0	0	0	0
916	117	0	-1	0	0	0	0
917	118	32768	6	0	918	0	0
918	118	32769	6	0	919	0	0
919	118	32770	6	0	920	0	0
920	118	32769	6	0	917	0	0
921	119	32768	6	0	922	0	0
922	119	32769	6	0	923	0	0
923	119	32770	6	0	921	0	0
924	120	0	14	0	925	0	0
925	120	1	14	0	924	0	0
926	121	32768	4	0	927	0	0
927	121	32769	4	0	928	0	0
928	121	32770	4	0	929	0	0
929	121	32771	4	0	926	0	0
930	122	32768	4	0	931	0	0
931	122	32769	4	0	932	0	0
932	122	32770	4	0	933	0	0
933	122	32771	4	0	930	0	0
934	123	32768	4	0	935	0	0
935	123	32769	4	0	936	0	0
936	123	32770	4	0	937	0	0
937	123	32771	4	0	934	0	0
938	124	32768	4	0	939	0	0
939	124	32769	4	0	940	0	0
940	124	32770	4	0	941	0	0
941	124	32771	4	0	938	0	0
942	125	32768	4	0	943	0	0
943	125	32769	4	0	944	0	0
944	125	32770	4	0	945	0	0
945	125	32771	4	0	942	0	0
946	126	32768	4	0	947	0	0
947	126	32769	4	0	948	0	0
948	126	32770	4	0	949	0	0
949	126	32771	4	0	946	0	0
950	127	0	-1	0	0	0	0
951	128	0	-1	0	0	0	0
952	129	0	-1	0	0	0	0
953	130	0	-1	0	0	0	0
954	131	0	-1	0	0	0	0
955	132	0	-1	0	0	0	0
956	133	0	-1	0	0	0	0
957	134	0	-1	0	0	0	0
958	135	0	-1	0	0	0	0
959	136	32768	4	0	960	0	0
960	136	32769	4	0	961	0	0
961	136	32770	4	0	962	0	0
962	136	32771	4	0	959	0	0
963	137	32768	4	0	964	0	0
964	137	32769	4	0	965	0	0
965	137	32770	4	0	966	0	0
966	137	32771	4	0	963	0	0
